SAMPLE,HS_PENALTY_100X,MEAN_TARGET_COVERAGE,PCT_TARGET_BASES_100X,PCT_TARGET_BASES_250X,PCT_TARGET_BASES_500X,PCT_TARGET_BASES_2500X
mPN_BONO_0005_1,6.205186,520.77604,0.998437,0.988349,0.549956,3.7e-5
mPN_BONO_0005_2,6.222723,574.298437,0.998484,0.992819,0.686019,5.1e-5
mPN_BONO_0005_3,6.207322,512.095584,0.998413,0.986647,0.523717,4e-5
mPN_BONO_0005_4,6.197329,517.301156,0.998411,0.987531,0.539736,3.2e-5
mPN_BONO_0005_5,6.081225,560.952809,0.998582,0.993232,0.663497,4.1e-5
mPN_BONO_0005_6,6.146849,499.612419,0.998448,0.98595,0.482686,2.6e-5
mPN_DIANA_0578_1,7.684319,161.414281,0.947429,0.023345,7e-5,0
mPN_DIANA_0627_1,8.866213,183.565623,0.974768,0.084434,5.03e-4,0
mPN_FAUCI2_0005_1,6.276561,473.799207,0.998382,0.978261,0.395762,9e-6
mPN_FAUCI2_0005_2,6.321533,519.462981,0.998406,0.987074,0.543814,2.5e-5
mPN_FAUCI2_0005_3,6.315293,464.395902,0.998335,0.973907,0.366159,4e-6
mPN_FAUCI2_0005_4,6.279162,472.003492,0.99834,0.977078,0.390738,4e-6
mPN_FAUCI2_0005_5,6.203495,510.853127,0.998481,0.98792,0.519171,1e-6
mPN_FAUCI2_0005_6,6.241492,448.666446,0.99832,0.970963,0.308934,0
mPN_MICHELLE_0625_1,7.228587,215.247662,0.988724,0.257208,0.001322,0
mPN_RUTH_0224_1,7.707467,229.670395,0.994509,0.346123,0.001367,0
